gou,Figure,Paysage,Marine,Square
0,180Å~140,180Å~120,180Å~100,180Å~180
SM,227Å~158,227Å~140,227Å~120,227Å~227
1,220Å~160,220Å~140,220Å~120,220Å~220
2,240Å~190,240Å~160,240Å~140,240Å~240
3,273Å~220,273Å~190,273Å~160,273Å~273
4,333Å~242,333Å~220,333Å~190,333Å~333
5,348Å~273,348Å~242,348Å~212,348Å~348
6,410Å~318,410Å~273,410Å~242,410Å~410
8,455Å~380,455Å~333,455Å~273,455Å~455
10,530Å~455,530Å~410,530Å~333,530Å~530
12,606Å~500,606Å~455,606Å~410,606Å~606
15,652Å~530,652Å~500,652Å~455,652Å~652
20,727Å~606,727Å~530,727Å~500,727Å~727
25,803Å~652,803Å~606,803Å~530,803Å~803
30,910Å~727,910Å~652,910Å~606,910Å~910
40,1000Å~803,1000Å~727,1000Å~652,1000Å~1000
50,1167Å~910,1167Å~803,1167Å~727,1167Å~1167
60,1303Å~970,1303Å~894,1303Å~803,1303Å~1303
80,1455Å~1120,1455Å~970,1455Å~897,1455Å~1455
100,1620Å~1303,1620Å~1120,1620Å~970,1620Å~1620
120,1940Å~1303,1940Å~1120,1940Å~970,1940Å~1940
